Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
Magyar Természetjáró Szövetség|EGERERDŐ Erdészeti Zártkörűen Működő Részvénytársaság,Buyer,19001511242|11164511210,5,-0.043032363,0.3959795,-1.0582376,0.9768935,4.506373,2,0.0,3.4538406570819616e-24,0.002577319587628866,0.39252806,1.1920929e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
"HE-DO Útépítő, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság",Winner,"10683833244,HU10683833,01-09-208325",5,-0.043780617,0.3976168,-1.0342238,0.9931009,4.5257077,2,0.0,3.4538406570819616e-24,0.002577319587628866,0.39368218,-2.9802322e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Magyar Testgyakorlók Köre Budapest,Buyer,19804651242,6,-0.059557937,0.3723258,-0.8913497,0.7675945,4.265938,4,4.0165481784954006e-05,1.613109902887636e-15,0.004943810033308575,0.3979199,0.0,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Hexamont Építő és Szolgáltató Kft,Winner,14008795206,6,-0.059926428,0.37086895,-0.87677914,0.8015974,4.2503266,4,0.0,9.313294366646277e-16,0.001788489439068963,0.39622056,-5.9604645e-08,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Szombathelyi Egyházmegye,Buyer,19895316218,7,-0.03011112,0.40398848,-1.2199656,0.8475943,4.583286,2,0.0,3.4538406570819616e-24,0.002577319587628866,0.39495668,-1.1920929e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Gyarmati és Társai Mérnöki és Szolgáltató Korlátolt Felelősségű Társaság|Nemessányi Klára,Winner,11512512218|68196420241,7,-0.03081999,0.4032292,-1.1970373,0.8487374,4.575324,2,0.0,3.4538406570819616e-24,0.002577319587628866,0.39162877,-2.3841858e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Bicskei Torna Club Egyesület,Buyer,19820088207,8,-0.01598996,0.42354527,-0.9974678,0.9849584,4.7952814,2,0.0,3.4538406570819616e-24,0.002577319587628866,0.39914185,-4.172325e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Hydroproof Magas és Mélyépítményszigetelő és Szolg áltató Kft.,Winner,"10369201243,HU10369201",8,-0.016116299,0.4215428,-1.007109,0.93914825,4.7726965,2,0.0,3.4538406570819616e-24,0.002577319587628866,0.39926758,-2.9802322e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Szendrői Református Egyházközség,Buyer,19912277105,9,-0.06755277,0.39613232,-1.1293141,1.0028528,4.546425,2,0.0,3.4538406570819616e-24,0.002577319587628866,0.39422458,0.0,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Borsodszer Építő és Szerelő Kft.,Winner,10238983205,9,-0.07036246,0.3995094,-1.171439,1.0375627,4.5894995,2,0.0,3.4538406570819616e-24,0.002577319587628866,0.39401305,-5.9604645e-08,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Budafoki Munkás Testedző Egyesület,Buyer,19807733243,10,-0.04180157,0.39255628,-0.9024613,0.81129026,4.466377,2,0.0,3.4538406570819616e-24,0.002577319587628866,0.3908859,-1.1920929e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Moratus Szerkezetépítő Korlátolt Felelősségű Társaság,Winner,13327824241,10,-0.047497474,0.39384127,-0.8897739,0.8461904,4.488092,2,0.0,3.4538406570819616e-24,0.002577319587628866,0.39590752,-5.9604645e-08,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Tiszántúli Református Egyházkerület,Buyer,19876182209,11,-0.0494088,0.36096781,-1.0330244,0.9326121,4.1219645,5,4.0165481784954006e-05,1.7165938156392388e-14,0.003164021463857013,0.39814848,1.1920929e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
"Four-Road Építő és Szolgáltató Korlátolt Felelősségű Társaság|KELET-ÚT Építőipari, Beruházó és Szállítmányozó Korlátolt Felelősségű Társaság",Winner,"22663131215|11896447215,HU11896447",11,-0.05810973,0.3694611,-1.077532,0.9375454,4.231361,5,0.0,9.290138785590448e-15,0.0017308775634759,0.39780253,0.0,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Tiszakóródi Református Egyházközség,Buyer,19858832115,12,-0.042781714,0.3817246,-1.0298432,0.797262,4.3457594,3,0.0,4.1640068839554323e-19,0.0019856969762089382,0.39916196,-5.9604645e-08,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
